nr_registro,id_ingrediente
35523,1
33723,2
17622,3
31918,4
13525,5
37825,6
1215,7
6715,7
20524,8
02025,7
11824,8
56425,9
07508,8
44924,10
02801,11
41418,7
6615,8
13425,8
11708,8
21316,8
1228803,12
23824,8
03009,13
02920,14
0215,15
42318,16
6515,7
03626,17
29225,18
16524,19
09024,20
45125,21
08921,22
44925,23
06526,24
34818,25
17322,26
21616,27
15816,28
32218,29
13923,29
14523,29
22422,26
40017,30
02923,31
9210,32
01520,33
19917,34
29617,34
39825,35
05501,35
06020,31
03624,34
0806,35
03801,35
05221,34
2798,36
12014,37
16117,38
28517,39
1205,40
50625,41
24918,35
08420,42
09120,42
13622,35
42325,43
00303,44
12208,44
02823,45
35521,46
5806,47
07326,48
39324,49
4193,50
05124,20
38618,50
26024,51
42125,20
458294,50
16024,20
16907,52
0417,50
27323,53
8311,50
20723,41
08625,54
46025,20
45925,20
14320,55
2093,56
02218,41
01326,57
39125,57
10812,41
26020,41
43619,41
01218,41
27817,41
49925,58
57925,20
05924,57
11908,59
712,60
52625,61
32725,62
2605,63
4111,64
23420,64
22820,65
12317,50
10098,66
5313,67
1238404,68
9609,69
10911,70
15325,71
9414,72
6211,73
28817,74
2708,75
00421,76
25218,38
14822,77
12821,78
16625,79
31718,80
04126,81
1595,82
01522,83
6010,84
88507,84
1007,85
13323,86
26317,87
24820,88
6111,89
04825,90
45124,91
17320,92
019907,93
46324,94
26622,50
02019,95
18125,96
6095,97
2698707,98
178810,99
2110,100
04726,101
5100,102
32522,103
24522,104
24822,105
1448999,106
28220,107
05826,108
11118,109
07019,110
07119,110
01703,111
11601,112
1038601,113
07521,114
28523,115
13512,116
24517,116
23322,117
14225,118
7898,119
27524,120
10924,121
40424,121
12917,122
57825,123
108700,124
4106,125
3116,126
21016,127
36525,118
28320,128
2492,129
01622,130
36022,131
31422,132
22525,20
40324,121
8909,133
43824,133
6011,89
991,134
16124,135
26623,136
07723,137
41424,137
22016,47
21721,138
01722,139
31724,140
03620,141
15021,142
5514,143
5314,144
2096,145
16308,142
16222,145
16318,145
15121,142
18920,142
11514,145
09322,145
12522,142
25819,145
31323,145
01525,146
06222,146
19524,8
195,7
07825,147
32225,123
2398,148
3809,79
1305,148
06721,149
8298,150
0610,151
3916,152
00508,80
49525,153
27021,154
34321,155
3705,156
32917,157
26816,158
18221,159
34618,151
12724,160
00901,161
26023,162
18423,163
09822,164
12309,165
4097,166
11516,167
08522,168
9107,169
13420,170
23820,170
03124,171
4007,172
8515,173
24618,174
54125,175
2303,50
20020,176
01720,177
26824,178
08822,179
25625,180
8511,181
35423,182
12123,183
26223,184
16407,185
4605,186
12824,187
9407,188
26520,189
06723,190
07226,191
27325,192
12624,193
22021,193
7815,194
00523,116
31417,195
19925,123
3815,196
5515,196
24420,197
11707,198
00200,199
10521,200
13408,201
03221,202
51525,20
02826,20
02726,20
07121,50
08723,203
21921,89
23121,204
42824,205
31618,206
21020,207
6894,208
25521,209
23718,210
08121,211
4916,212
08120,212
18820,213
05224,146
11223,214
40619,215
45625,216
11216,217
24925,218
16107,219
5017,220
30122,189
26019,189
2396,221
00521,221
17918,60
08321,60
10018,60
12920,222
01726,189
19725,189
05526,189
06521,189
32124,189
27421,189
09019,189
09519,60
10319,60
25021,189
08818,189
596,60
10425,60
31818,60
20325,60
32217,223
05423,224
15408,225
36519,226
09522,116
21216,8
20923,227
15523,228
36919,229
12008,230
04021,231
14324,96
26918,232
24720,232
27716,233
07720,229
7107,234
10706,85
04900,85
15723,235
8212,236
21717,41
08526,237
45825,238
1415,184
03400,184
19122,39
12320,239
48025,240
37125,241
29321,118
