id_empresa,titular_de_registro
1,Koppert do Brasil Holding S.A. - Piracicaba/SP
2,Bem Brasil Alimentos S/A.  Perdizes/MG
3,CCAB Agro S.A.   São Paulo
4,CAC Quimica do Brasil Ltda
5,Inovatis Agronegocios Importação e Exportação Ltda.
6,Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS
7,Crotect Crop Science Ltda - São Paulo/SP
8,Suno Agrotech Ltda.
9,Perterra Insumos Agropecuários S.A.  São Paulo/SP
10,AllierBrasil Agro Ltda.
11,Nortox S.A. - Arapongas
12,Agriconnection Importadora e Exportadora de Insumos Agrícolas - Barueri/SP
13,Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA
14,Agritec Ind. Brasileira de Herbicidas Ltda.
15,Agro Import do Brasil Ltda. - Porto Alegre/RS
16,CHDS do Brasil Comércio de Insumos Agrícolas Ltda - São Miguel do Iguaçu/PR
17,Solus do Brasil Ltda. - Apucarana/PR- Parque Industrial
18,Copalliance S.A. - Campinas
19,Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu
20,Yonon Brasil Defensivos Agricolas Ltda
21,Adama Brasil S.A.- Londrina/PR
22,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP
23,Binova Agro Industrial Ltda
24,Syncrom Assessoria e Comércio de Produtos Agropecuários  Ltda.
25,Avgust Crop Protection Importação e Exportação Ltda.
26,Basf Agricultural Solutions Brasil Ltda  SãoPaulo/SP
27,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE
28,Cropchem Ltda - Porto Alegre
29,Prentiss Química Ltda. - Campo Largo/PR
30,Mitsui & Co (Brasil) S.A.
31,Albaugh Agro Brasil Ltda.- São Paulo
32,Iharabras S.A. Indústria Químicas - Sorocaba
33,Oxon Brasil Defensivos Agrícolas Ltda.
34,Agroallianz S.A
35,CTVA Proteção de Cultivos Ltda - Barueri (Tamboré)
36,Agribiol  Biológicos Agrícolas Ltda
37,Bionat Soluções Biologicas Ltda
38,Agrobeats Defensivos Agrícolas Ltda
39,Ameribrás Indústria e Comércio Ltda.
40,Coromandel América S.A
41,Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda.
42,GSP Agroquímica do Brasil Ltda - Porto Alegra/RS
43,Ballagro Agro Tecnologia Ltda. - Bom Jesus dos Perdões/SP
44,Ouro Fino Química S.A. - Uberaba
45,Syngenta Proteção de Cultivos Ltda.  São Paulo/SP
46,Basf S.A.  São Paulo
47,AgroFresh Brasil Ltda. - São Paulo/SP
48,Bayer S.A. - São Paulo/ SP
49,FMC Química do Brasil Ltda. - Campinas/SP
50,Massen Produtos Biologicos S.A. - Indaiatuba/SP
51,ISK Biosciences do Brasil Defensivos Agricolas Ltda
52,Genica Inovação Biotecnologica S.A.. - Planta 2/Piracicaba/SP
53,Gulf Oil do Brasil Ltda - Iperó/SP
54,Bio Controle - Métodos de Controle de Pragas Ltda.
55,Quimetal Produtos Quimicos do Brasil Ltda.
56,RL Controle Biologico Ltda - EPP
57,Vittia S.A. - São Joaquim da Barra 01
58,Ophicina Organica Fertilizantes - Atibaia/SP
