id_ingrediente,ingrediente_ativo
1,Heterorhabditis bacteriophora (Nematóides entomopatogênicos) (840 g/kg)
2,Steinernema carpocapsae (Nematóides entomopatogênicos) (840 grama)
3,"1,4 Dimetilnaftaleno (hidrocarbonetos aromáticos) (997.7 g/L)"
4,"2,4-D (ácido ariloxialcanóico) (406 g/L) + picloram (ácido piridinocarboxílico) (103.6 g/L)"
5,"2,4-D-trietanolamina (ácido ariloxialcanóico) (402 g/L) + picloram-trietanolamina (ácido piridinocarboxílico) (103.6 g/L)"
6,"2,4-D (ácido ariloxialcanóico) (411 g/L) + picloram (ácido piridinocarboxílico) (106.75 g/L)"
7,"2,4-D-dimetilamina (ácido ariloxialcanóico) (806 g/L)"
8,"2,4-D (ácido ariloxialcanóico) (806 g/L)"
9,"2,4-D (ácido ariloxialcanóico) (596.9 g/L) + Aminopiralide (ácido piridiniloxialcanóico) (76.9 g/L)"
10,"2,4-D (ácido ariloxialcanóico) (866 g/L)"
11,"2,4-D (ácido ariloxialcanóico) (867 g/L)"
12,"2,4-D-dimetilamina (ácido ariloxialcanóico) (867 g/L)"
13,"2,4-D (ácido ariloxialcanóico) (806 g/kg)"
14,"2,4-D (ácido ariloxialcanóico) (970 g/kg)"
15,"2,4-D amina (ácido ariloxialcanóico) (806 g/L)"
16,"2,4-D (ácido ariloxialcanóico) (975 g/kg)"
17,"2,4-d-triisopropanolamina (ácido ariloxialcanóico) (422 g/L) + picloram-triisopropanolamina   (ácido piridinocarboxílico) (112 g/L)"
18,Fluroxipir-meptílico (ácido piridiniloxialcanóico) (115.2 g/L) + picloram (ácido piridinocarboxílico) (80 g/L)
19,clomazona (isoxazolidinona) (280 g/L) + diurom (uréia) (250 g/L) + hexazinona (triazinona) (70 g/L)
20,acefato (organofosforado) (970 g/kg)
21,"Bacillus subtilis, ORN 160 (Biológico) (166.65 g/L) + Bacillus velezensis, ORN 14 (Biológico) (166.65 g/L)"
22,ipconazol (triazol) (450 g/L)
23,"Trichoderma harzianum, isolado IB 19/17 (Produto Microbiológico) (930 g/L)"
24,acetamiprido (neonicotinóide) (400 g/kg) + piriproxifem (éter piridiloxipropílico) (160 g/kg)
25,clorimurom-etílico (sulfoniluréia) (150 g/kg) + imazetapir (imidazolinona) (450 g/kg)
26,imidacloprido (neonicotinóide) (500 g/L)
27,propiconazol (triazol) (300 g/L) + tebuconazol (triazol) (200 g/L)
28,nicossulfurom (sulfoniluréia) (40 g/L)
29,quizalofope-P-etílico (ácido ariloxifenoxipropiônico) (125 g/L)
30,tebuconazol (triazol) (250 g/L)
31,Abamectina (avermectina) (400 g/kg)
32,epoxiconazol (triazol) (160 g/L) + piraclostrobina (estrobilurina) (260 g/L)
33,lufenurom (benzoiluréia) (50 g/L) + tiodicarbe (metilcarbamato de oxima) (300 g/L)
34,Abamectina (avermectina) (72 g/L)
35,Abamectina (avermectina) (18 g/L)
36,Bacillus thuringiensis (Produto Microbiológico) (72 g/L)
37,diurom (uréia) (980 g/L)
38,clorotalonil (isoftalonitrila) (500 g/L)
39,clorotalonil (isoftalonitrila) (720 g/L)
40,cimoxanil (acetamida) (60 g/kg) + mancozebe (alquilenobis(ditiocarbamato)) (700 g/kg)
41,acetamiprido (neonicotinóide) (200 g/kg)
42,Picoxistrobina (estrobilurina) (250 g/L)
43,Abamectina (avermectina) (84 g/L)
44,propargito (sulfito de alquila) (720 g/L)
45,1-Aminocyclopropane-1-carboxylic acid (Precursor de etileno) (400 g/kg)
46,benziladenina (citocinina) (20 g/L)
47,nicossulfurom (sulfoniluréia) (750 g/kg)
48,"Bacillus thuringiensis var. kurstaki, isolado HD-1 (S1450) (Produto Microbiológico) (700 ml/litro)"
49,"Bacillus thuringiensis, cepa CCT 8217 (Biológico) (40 g/L)"
50,acefato (organofosforado) (750 g/kg)
51,acefato (organofosforado) (950 g/kg)
52,acefato (organofosforado) (750 g/L)
53,acetamiprido (neonicotinóide) (725 g/kg)
54,acefato (organofosforado) (900 g/kg)
55,Bacillus thuringiensis (Produto Microbiológico) (64 g/L)
56,propaquizafope (ácido ariloxifenoxipropiônico) (100 g/L)
57,acetamiprido (neonicotinóide) (250 g/kg) + bifentrina (piretróide) (250 g/kg)
58,acetamiprido (neonicotinóide) (400 g/L)
59,lactofem (éter difenílico) (240 g/L)
60,Atrazina (triazina) (500 g/L)
61,Benzoato de Emamectina (avermectina) (50 g/L) + Isocicloseram (Isoxazoline) (200 g/L)
62,S-metolacloro (cloroacetanilida) (847 g/L) + sulfentrazona (triazolona) (88 g/L)
63,dimetomorfe (morfolina) (90 g/kg) + mancozebe (alquilenobis(ditiocarbamato)) (600 g/kg)
64,piraclostrobina (estrobilurina) (50 g/L) + tiofanato-metílico (benzimidazol (precursor de)) (450 g/L)
65,Azoxistrobina (estrobilurina) (40 g/L) + clorotalonil (isoftalonitrila) (500 g/L) + difenoconazol (triazol) (40 g/L)
66,tiametoxam (neonicotinóide) (250 g/kg)
67,tiametoxam (neonicotinóide) (750 g/kg)
68,pirimifós-metílico (organofosforado) (500 g/L)
69,lambda-cialotrina (piretróide) (50 g/L)
70,trifloxissulfurom-sódico (sulfoniluréia) (750 g/kg)
71,pirimetanil (anilinopirimidina) (160 g/L)
72,acibenzolar-S-metílico (benzotiadiazol) (500 g/kg)
73,tiametoxam (neonicotinóide) (350 g/kg)
74,Azoxistrobina (estrobilurina) (242 g/L) + ciproconazol (triazol) (96 g/L) + tiametoxam (neonicotinóide) (182 g/L)
75,"2,4-D-trietanolamina (ácido ariloxialcanóico) (406 g/L) + picloram (ácido piridinocarboxílico) (103 g/L)"
76,isoxaflutol (isoxazol) (225 g/L) + tiencarbazona metílica (triazolona) (90 g/L)
77,Pidiflumetofen (carboxamida) (75 g/L) + difenoconazol (triazol) (125 g/L)
78,epoxiconazol (triazol) (62.5 g/L) + fluxapiroxade (carboxamida) (62.5 g/L)
79,Azoxistrobina (estrobilurina) (200 g/L) + difenoconazol (triazol) (125 g/L)
80,bentazona (benzotiadiazinona) (600 g/L) + imazamoxi (imidazolinona) (28 g/L)
81,acefato (organofosforado) (850 g/kg) + bifentrina (piretróide) (35 g/kg)
82,diurom (uréia) (533 g/kg) + hexazinona (triazinona) (67 g/kg)
83,clorfenapir (análogo de pirazol) (240 g/L)
84,linurom (uréia) (450 g/L)
85,carfentrazona-etílica (triazolona) (400 g/L)
86,acetamiprido (neonicotinóide) (250 g/L) + bifentrina (piretróide) (250 g/L)
87,diafentiurom (feniltiouréia) (500 g/L)
88,Bacillus velezensis cepa CBMAI 1304 (Produto Microbiológico) (947 g/L)
89,fluazinam (fenilpiridinilamina) (500 g/L)
90,"Bacillus amyloliquefaciens, cepa GNC005A (Biológico) (708.7 g/L)"
91,"Bacillus thuringiensis var. kurstaki, isolado HD-1 (S1450) (Produto Microbiológico) (940 g/L)"
92,Bacillus licheniformis (Produto Microbiológico) (200 g/kg) + Bacillus subtilis (Produto Microbiológico) (200 g/kg) + Paecilomyces lilacinus (Produto Microbiológico) (200 g/kg)
93,óleo mineral (hidrocarbonetos alifáticos) (920 g/L)
94,óleo mineral (hidrocarbonetos alifáticos) (848 g/L)
95,cletodim (oxima ciclohexanodiona) (240 g/L) + haloxifope-P-metílico (ácido ariloxifenoxipropiônico) (123.6 g/L)
96,"Beauveria bassiana, isolado IBCB 66* (Produto Microbiológico) (100 g/L)"
