id_praga,praga_nome_cientifico
1,Scaptocoris castanea
2,Sphenophorus levis
3,Spodoptera frugiperda
4,Bradysia matogrossensis
5,Aeschynomene rudis
6,Amaranthus viridis
7,Bidens pilosa
8,Cyperus ferax
9,Cyperus luzulae
10,Digitaria horizontalis
11,Digitaria sanguinalis
12,Eleusine indica
13,Eragrostis ciliaris
14,Euphorbia heterophylla
15,Fimbristylis dichotoma
16,Melampodium divaricatum
17,Panicum fasciculatum
18,Physalis angulata
19,Portulaca oleracea
20,Senna obtusifolia
21,Sida acuta
22,Sida cordifolia
23,Sida glaziovii
24,Sida rhombifolia
25,Spigelia anthelmia
26,Conyza bonariensis
27,Ipomoea grandifolia
28,Ipomoea triloba
29,Merremia cissoides
30,Momordica charantia
31,Ricinus communis
32,Acacia paniculata
33,Acacia plumosa
34,Baccharis coridifolia
35,Baccharis trimera
36,Barnadesia rosea
37,Bauhinia Divaricata
38,Bauhinia variegata
39,Croton floribundus
40,Croton glandulosus
41,Eichhornia crassipes
42,Eucalyptus spp
43,Eupatorium laevigatum
44,Hyptis suaveolens
45,Machaerium aculeatum
46,Parthenium hysterophorus
47,Peschiera fuchsiaefolia
48,Plantago major
49,Polygonum punctatum
50,Pteridium aquilinum
51,Randia armata
52,Schinus terebinthifolius
53,Senecio brasiliensis
54,Senna occidentalis
55,Sidastrum micranthum
56,Sidastrum paniculatum
57,Solanum aculeatissimum
58,Solanum lycocarpum
59,Solanum rugosum
60,Solanum sisymbriifolium
61,Solidago chilensis
62,Spermacoce alata
63,Spermacoce verticillata
64,Ulex europaeus
65,Vernonia polyanthes
66,Vernonia westiniana
67,Waltheria indica
68,Ipomoea purpurea
69,Merremia aegyptia
70,Solanum paniculatum
71,Vernonia tweediana
72,Gossypium hirsutum
73,Acanthospermum hispidum
74,Ageratum conyzoides
75,Amaranthus deflexus
76,Amaranthus hybridus
77,Aeschynomene denticulata
78,Commelina benghalensis
79,Galinsoga parviflora
80,Raphanus raphanistrum
81,Sonchus oleraceus
82,Brassica rapa
83,Leonurus sibiricus
84,Lepidium virginicum
85,Richardia brasiliensis
86,Alternanthera tenella
87,Cyperus rotundus
88,Emilia sonchifolia
89,Amaranthus retroflexus
90,Conyza sumatrensis
91,Glycine max
92,Solanum americanum
93,Solanum palinacanthum
94,Spermacoce latifolia
95,Ipomoea aristolochiaefolia
96,Eupatorium squalidum
97,Sida santaremnensis
98,Synedrellopsis grisebachii
99,Polygonum convolvulus
100,Amaranthus spinosus
101,Nicandra physaloides
102,Ambrosia elatior
103,Eupatorium maximilianii
104,Mansoa difficilis
105,Tecoma stans
106,Vernonia scabra
107,Zanthoxylum hasslerianum
108,Brachiaria decumbens
109,Cenchrus echinatus
110,Digitaria nuda
111,Panicum maximum
112,Aphis gossypii
113,Dysdercus ruficollis
114,Helicoverpa armigera
115,Macrosiphum euphorbiae
116,Ecdytolopha aurantiana
117,Dalbulus maidis
118,Dichelops melacanthus
119,Rhopalosiphum maidis
120,Euschistus heros
121,Myzus persicae
122,Meloidogyne javanica
123,Pratylenchus brachyurus
124,Aspergillus flavus
125,Fusarium moniliforme
126,Penicillium oxalicum
127,Fusarium pallidoroseum
128,Phomopsis sojae
129,Rhizoctonia solani
130,Sclerotinia sclerotiorum
131,Bemisia tabaci
132,Frankliniella schultzei
133,Syntermes molestus
134,Enneothrips flavens
135,Oryzophagus oryzae
136,Procornitermes triacifer
137,Diloboderus abderus
138,Metopolophium dirhodum
139,Rhopalosiphum graminum
140,Deois flavopicta
141,Diabrotica speciosa
142,Dichelops furcatus
143,Frankliniella williamsi
144,Phyllophaga cuyabana
145,Bipolaris oryzae
146,Pyricularia grisea
147,Colletotrichum lindemuthianum
148,Phaeoisariopsis griseola
149,Uromyces appendiculatus
150,Cercospora kikuchii
151,Microsphaera diffusa
152,Septoria glycines
153,Bipolaris sorokiniana
154,Blumeria graminis
155,Drechslera tritici-repentis
156,Fusarium graminearum
157,Puccinia triticina
158,Brachiaria plantaginea
159,Cynodon dactylon
160,Digitaria insularis
161,Lolium multiflorum
162,Setaria geniculata
163,Sorghum halepense
164,Zea mays
165,Echinochloa crusgalli
166,Pennisetum setosum
167,Bemisia tabaci raça B
168,Faustinus cubae
169,Fusarium subglutinans
170,Colletotrichum gossypii var. cephalosporioides
171,Alternaria porri
172,Puccinia allii
173,Cercospora arachidicola
174,Pseudocercospora personata
175,Drechslera avenae
176,Puccinia coronata var. avenae
177,Mycosphaerella fijiensis
178,Mycosphaerella musicola
179,Alternaria solani
180,Cercospora beticola
181,Crinipellis perniciosa
182,Ascochyta coffeae
183,Cercospora coffeicola
184,Hemileia vastatrix
185,Phoma costaricensis
186,Alternaria dauci
187,Blumeria graminis f.sp. hordei
188,Puccinia hordei
